p_ba,p_cm,diff
0.902,0.901,0.0010000000000000009
0.8982,0.8978,0.00039999999999995595
0.9008,0.9014,-0.0005999999999999339
0.9004,0.8984,0.0020000000000000018
0.9002,0.8942,0.006000000000000005
0.8988,0.8926,0.006200000000000094
0.8966,0.8978,-0.0012000000000000899
0.901,0.8992,0.0018000000000000238
0.8992,0.9024,-0.0031999999999999806
0.9014,0.8988,0.0025999999999999357
0.903,0.8944,0.008600000000000052
0.9068,0.9,0.006800000000000028
0.9014,0.9006,0.0008000000000000229
0.8986,0.898,0.0005999999999999339
0.9026,0.8936,0.009000000000000008
0.9064,0.8984,0.008000000000000007
0.8976,0.897,0.0005999999999999339
0.9048,0.901,0.0038000000000000256
0.8984,0.8972,0.0011999999999999789
0.9016,0.8996,0.0020000000000000018
0.898,0.8974,0.0006000000000000449
0.9038,0.8976,0.006200000000000094
0.903,0.896,0.007000000000000006
0.9012,0.8956,0.005600000000000049
0.9016,0.895,0.006599999999999939
0.9102,0.899,0.011199999999999988
0.9028,0.8902,0.012600000000000056
0.8962,0.897,-0.0008000000000000229
0.9018,0.8938,0.008000000000000007
0.899,0.8976,0.0014000000000000679
0.899,0.8942,0.0048000000000000265
0.8944,0.8962,-0.0018000000000000238
0.9066,0.8986,0.008000000000000007
0.9028,0.8934,0.009400000000000075
0.9024,0.8984,0.0040000000000000036
0.9012,0.8944,0.006800000000000028
0.9,0.891,0.009000000000000008
0.9006,0.8976,0.0030000000000000027
0.9012,0.9,0.0011999999999999789
0.8978,0.8926,0.0052000000000000934
0.9004,0.895,0.00539999999999996
0.9022,0.8942,0.008000000000000007
0.913,0.9032,0.009800000000000031
0.9052,0.8956,0.009600000000000053
0.8968,0.8892,0.007600000000000051
0.8986,0.8996,-0.0010000000000000009
0.8988,0.8924,0.006400000000000072
0.9086,0.8962,0.012399999999999967
0.9058,0.895,0.010800000000000032
0.9058,0.896,0.009800000000000031
